task_id	root_id	label_value	root_created_at	total_nodes_from_db	window_name	requested_total_points	node_count	edge_count	cluster_count	cut_ratio	ncut	cluster_entropy_norm	largest_cluster_ratio	cluster_sizes_json	edge_weight_mode	numpart	seed	runtime_seconds	finished_at_utc
3453646882841201|window_500	3453646882841201	rumor	2012-06-05 19:50:46+08	1000	window_500	500	500	499	2.0	0.013873962019822128	0.14314046323086743	0.30315159036330663	0.946	"{""0"":473,""1"":27}"	relative_root_seconds	2	42	24.446935	2026-05-19T06:45:27.629271+00:00
3458052025942521|window_500	3458052025942521	rumor	2012-06-17 23:35:14+08	1000	window_500	500	500	499	2.0	0.09117110165285937	0.19324666471259871	0.9169567260793559	0.668	"{""0"":166,""1"":334}"	relative_root_seconds	2	42	17.544620	2026-05-19T06:45:45.175912+00:00
3458738764029954|window_500	3458738764029954	rumor	2012-06-19 21:04:01+08	1000	window_500	500	500	499	2.0	0.003751643432114778	0.19532472997462147	0.0937779098448863	0.988	"{""0"":494,""1"":6}"	relative_root_seconds	2	42	17.649746	2026-05-19T06:46:02.834436+00:00
3460120078103292|window_500	3460120078103292	rumor	2012-06-23 16:32:55+08	1000	window_500	500	500	499	2.0	0.0013484251325038316	0.04319894017974488	0.0937779098448863	0.988	"{""0"":494,""1"":6}"	relative_root_seconds	2	42	21.048084	2026-05-19T06:46:23.888508+00:00
3462269600134003|window_500	3462269600134003	rumor	2012-06-29 14:54:21+08	1000	window_500	500	500	499	2.0	0.01352321090426364	0.12677985154347782	0.34312290712913496	0.936	"{""0"":468,""1"":32}"	relative_root_seconds	2	42	19.559198	2026-05-19T06:46:43.449704+00:00
3465261540071546|window_500	3465261540071546	rumor	2012-07-07 21:03:15+08	1000	window_500	500	500	499	2.0	0.0032580881347529624	0.19412971686061156	0.05291508034196231	0.994	"{""0"":497,""1"":3}"	relative_root_seconds	2	42	18.028912	2026-05-19T06:47:01.481535+00:00
3471040577916614|window_500	3471040577916614	rumor	2012-07-23 19:47:05+08	1000	window_500	500	500	499	2.0	0.05798013596184055	0.11799279580362201	0.9927744539849229	0.55	"{""0"":275,""1"":225}"	relative_root_seconds	2	42	18.749893	2026-05-19T06:47:20.233425+00:00
3474993889611780|window_500	3474993889611780	rumor	2012-08-03 17:36:06+08	1000	window_500	500	500	499	2.0	0.004940101801331968	0.1991359760668734	0.0937779098448863	0.988	"{""0"":494,""1"":6}"	relative_root_seconds	2	42	20.837440	2026-05-19T06:47:41.074475+00:00
3475302015075964|window_500	3475302015075964	rumor	2012-08-04 14:00:31+08	1000	window_500	500	500	499	2.0	0.02007365779592883	0.04292907381793626	0.9521953766230723	0.628	"{""0"":314,""1"":186}"	relative_root_seconds	2	42	19.371721	2026-05-19T06:48:00.448191+00:00
3475420018566028|window_500	3475420018566028	rumor	2012-08-04 21:49:25+08	1000	window_500	500	500	499	2.0	0.0035073034842612134	0.24884860348651627	0.08079313589302582	0.99	"{""0"":495,""1"":5}"	relative_root_seconds	2	42	19.116888	2026-05-19T06:48:19.570281+00:00
3476014229176895|window_500	3476014229176895	rumor	2012-08-06 13:10:36+08	1000	window_500	500	500	499	2.0	0.002033341076159787	0.20083458752044558	0.05291508034196231	0.994	"{""0"":497,""1"":3}"	relative_root_seconds	2	42	12.753897	2026-05-19T06:48:32.326180+00:00
3476366005708918|window_500	3476366005708918	rumor	2012-08-07 12:28:26+08	1000	window_500	500	500	499	2.0	0.013105796281680623	0.05847858866258378	0.5235844710527713	0.882	"{""0"":59,""1"":441}"	relative_root_seconds	2	42	26.838420	2026-05-19T06:48:59.166809+00:00
3476433059938818|window_500	3476433059938818	rumor	2012-08-07 16:54:53+08	1000	window_500	500	500	499	2.0	0.0019767719307695795	0.32969437661976253	0.037622360319393075	0.996	"{""0"":498,""1"":2}"	relative_root_seconds	2	42	10.396476	2026-05-19T06:49:09.567783+00:00
3476496058745719|window_500	3476496058745719	rumor	2012-08-07 21:05:13+08	1000	window_500	500	500	499	2.0	0.0019693933162838865	0.19422172252556424	0.05291508034196231	0.994	"{""0"":497,""1"":3}"	relative_root_seconds	2	42	24.448868	2026-05-19T06:49:34.019881+00:00
3476559849884422|window_500	3476559849884422	rumor	2012-08-08 01:18:42+08	1000	window_500	500	500	499	2.0	0.001799653935937047	0.1906347126532865	0.05291508034196231	0.994	"{""0"":497,""1"":3}"	relative_root_seconds	2	42	18.739295	2026-05-19T06:49:52.761175+00:00
3476724542925166|window_500	3476724542925166	rumor	2012-08-08 12:13:08+08	1000	window_500	500	500	499	2.0	0.0013018034858041556	0.14162995330934952	0.06722154475542148	0.992	"{""0"":496,""1"":4}"	relative_root_seconds	2	42	24.215872	2026-05-19T06:50:16.979046+00:00
3479635566472827|window_500	3479635566472827	rumor	2012-08-16 13:00:30+08	1000	window_500	500	500	499	2.0	0.01081125392634556	0.2276237740073977	0.16334554318051697	0.976	"{""0"":488,""1"":12}"	relative_root_seconds	2	42	25.649075	2026-05-19T06:50:42.629111+00:00
3485463900094387|window_500	3485463900094387	rumor	2012-09-01 15:00:10+08	1000	window_500	500	500	499	2.0	0.032235071820253355	0.07146793246684492	0.9551678918583671	0.624	"{""0"":312,""1"":188}"	relative_root_seconds	2	42	22.744272	2026-05-19T06:51:05.375383+00:00
3488713802136794|window_500	3488713802136794	rumor	2012-09-10 14:14:09+08	1000	window_500	500	500	499	2.0	0.022812420017128396	0.174365204073596	0.4091874050266431	0.918	"{""0"":41,""1"":459}"	relative_root_seconds	2	42	60.667211	2026-05-19T06:52:06.087800+00:00
3489101477126498|window_500	3489101477126498	rumor	2012-09-11 15:54:39+08	1000	window_500	500	500	499	2.0	0.0020207500477294167	0.08466514032968643	0.0937779098448863	0.988	"{""0"":494,""1"":6}"	relative_root_seconds	2	42	67.330874	2026-05-19T06:53:13.423682+00:00
3489105411393740|window_500	3489105411393740	rumor	2012-09-11 16:10:17+08	1000	window_500	500	500	499	2.0	0.009939160239083335	0.06654801962618617	0.4229754912317455	0.914	"{""0"":457,""1"":43}"	relative_root_seconds	2	42	70.261758	2026-05-19T06:54:23.693331+00:00
3490292449965980|window_500	3490292449965980	rumor	2012-09-14 22:47:09+08	1000	window_500	500	500	499	2.0	0.020332960475776533	0.10065601954695859	0.5177526267223779	0.884	"{""0"":442,""1"":58}"	relative_root_seconds	2	42	61.396346	2026-05-19T06:55:25.101932+00:00
3495585271593099|window_500	3495585271593099	rumor	2012-09-29 13:18:56+08	1000	window_500	500	500	499	2.0	0.025781698474571187	0.05777802184631108	0.930444894021149	0.654	"{""0"":327,""1"":173}"	relative_root_seconds	2	42	64.439890	2026-05-19T06:56:29.552817+00:00
3495729601661914|window_500	3495729601661914	rumor	2012-09-29 22:52:28+08	1000	window_500	500	500	499	2.0	0.005707814805711528	0.2732424799745466	0.10627369308177448	0.986	"{""0"":493,""1"":7}"	relative_root_seconds	2	42	72.527109	2026-05-19T06:57:42.083424+00:00
3500214822383187|window_500	3500214822383187	rumor	2012-10-12 07:55:07+08	1000	window_500	500	500	499	2.0	0.006141127322786469	0.06196474014236908	0.28639695711307084	0.95	"{""0"":475,""1"":25}"	relative_root_seconds	2	42	18.861537	2026-05-19T06:58:00.946865+00:00
3502018951541090|window_500	3502018951541090	rumor	2012-10-17 07:24:06+08	1000	window_500	500	500	499	2.0	0.005744929921130675	0.10968048725017555	0.14144054253893532	0.98	"{""0"":490,""1"":10}"	relative_root_seconds	2	42	18.707704	2026-05-19T06:58:19.656572+00:00
3502823666515332|window_500	3502823666515332	rumor	2012-10-19 12:41:44+08	1000	window_500	500	500	499	2.0	0.022670563788353526	0.2327262581014638	0.3113573704263978	0.944	"{""0"":472,""1"":28}"	relative_root_seconds	2	42	21.368876	2026-05-19T06:58:41.026449+00:00
3507900985440121|window_500	3507900985440121	rumor	2012-11-02 12:57:11+08	1000	window_500	500	500	499	2.0	0.0023410364304712774	0.19692754043074448	0.05291508034196231	0.994	"{""0"":497,""1"":3}"	relative_root_seconds	2	42	21.128404	2026-05-19T06:59:02.155852+00:00
3512376240679226|window_500	3512376240679226	rumor	2012-11-14 21:20:15+08	1000	window_500	500	500	499	2.0	0.022699958367041046	0.10503864115830966	0.4877315835376166	0.894	"{""0"":447,""1"":53}"	relative_root_seconds	2	42	19.711148	2026-05-19T06:59:21.872000+00:00
3516051495056011|window_500	3516051495056011	rumor	2012-11-25 00:44:24+08	1000	window_500	500	500	499	2.0	0.03051562822186149	0.1943881366259213	0.4496822131196147	0.906	"{""0"":453,""1"":47}"	relative_root_seconds	2	42	22.528888	2026-05-19T06:59:44.401822+00:00
3516538713809703|window_500	3516538713809703	rumor	2012-11-26 09:00:26+08	1000	window_500	500	500	499	2.0	0.030253556639952075	0.06241860115689078	0.9953784388173404	0.54	"{""0"":270,""1"":230}"	relative_root_seconds	2	42	27.686706	2026-05-19T07:00:12.091547+00:00
3518396224240158|window_500	3518396224240158	rumor	2012-12-01 12:01:31+08	1000	window_500	500	500	499	2.0	0.00607710921905711	0.20604823107513162	0.1300588461762115	0.982	"{""0"":491,""1"":9}"	relative_root_seconds	2	42	25.875339	2026-05-19T07:00:37.970194+00:00
3531095800442217|window_500	3531095800442217	rumor	2013-01-05 13:05:06+08	1000	window_500	500	500	499	2.0	0.004953132708436113	0.23405315661079537	0.0937779098448863	0.988	"{""0"":6,""1"":494}"	relative_root_seconds	2	42	16.220383	2026-05-19T07:00:54.193602+00:00
3533613180118331|window_500	3533613180118331	rumor	2013-01-12 11:48:16+08	1000	window_500	500	500	499	2.0	0.08300942590616088	0.1661173026559234	0.9977366703391493	0.528	"{""0"":264,""1"":236}"	relative_root_seconds	2	42	28.625247	2026-05-19T07:01:22.821849+00:00
3545568494205770|window_500	3545568494205770	rumor	2013-02-14 11:34:25+08	1000	window_500	500	500	499	2.0	0.0018741538641726687	0.11151223761896954	0.08079313589302582	0.99	"{""0"":495,""1"":5}"	relative_root_seconds	2	42	30.547709	2026-05-19T07:01:53.372539+00:00
3556259086805180|window_500	3556259086805180	rumor	2013-03-15 23:35:01+08	1000	window_500	500	500	499	2.0	0.001377462071873723	0.05038258338875701	0.1300588461762115	0.982	"{""0"":491,""1"":9}"	relative_root_seconds	2	42	35.817934	2026-05-19T07:02:29.192491+00:00
3569089802496496|window_500	3569089802496496	rumor	2013-04-20 09:19:41+08	1000	window_500	500	500	499	2.0	0.053542171708020454	0.1696110262836921	0.7452883145601789	0.788	"{""0"":394,""1"":106}"	relative_root_seconds	2	42	27.469376	2026-05-19T07:02:56.666077+00:00
3578285952739133|window_500	3578285952739133	rumor	2013-05-15 18:21:55+08	1000	window_500	500	500	499	2.0	0.001356535774289214	0.18126076240665995	0.037622360319393075	0.996	"{""0"":498,""1"":2}"	relative_root_seconds	2	42	24.476582	2026-05-19T07:03:21.147656+00:00
3578943737262269|window_500	3578943737262269	rumor	2013-05-17 13:55:41+08	1000	window_500	500	500	499	2.0	0.029379579336433412	0.15838484179396128	0.4753035717805591	0.898	"{""0"":51,""1"":449}"	relative_root_seconds	2	42	27.590658	2026-05-19T07:03:48.740650+00:00
3579991172564425|window_500	3579991172564425	rumor	2013-05-20 11:17:50+08	1000	window_500	500	500	499	2.0	0.013961587376624838	0.2630669674912383	0.2140710681013333	0.966	"{""0"":483,""1"":17}"	relative_root_seconds	2	42	13.158343	2026-05-19T07:04:01.901512+00:00
3581099915891922|window_500	3581099915891922	rumor	2013-05-23 12:43:36+08	1000	window_500	500	500	499	2.0	0.0017644702905639132	0.11192282256762565	0.08079313589302582	0.99	"{""0"":495,""1"":5}"	relative_root_seconds	2	42	23.638428	2026-05-19T07:04:25.545949+00:00
3589033244483137|window_500	3589033244483137	rumor	2013-06-14 10:07:49+08	1000	window_500	500	500	499	2.0	0.007290005437246895	0.1100522979048163	0.20432467097739426	0.968	"{""0"":484,""1"":16}"	relative_root_seconds	2	42	20.871088	2026-05-19T07:04:46.419507+00:00
3589746401954402|window_500	3589746401954402	rumor	2013-06-16 09:21:39+08	1000	window_500	500	500	499	2.0	0.059638835512463455	0.15338739161470383	0.8634979738238052	0.714	"{""0"":357,""1"":143}"	relative_root_seconds	2	42	21.492406	2026-05-19T07:05:07.918905+00:00
3590501757933430|window_500	3590501757933430	rumor	2013-06-18 11:23:09+08	1000	window_500	500	500	499	2.0	0.00981693674318022	0.22527237236662426	0.18426059333676978	0.972	"{""0"":486,""1"":14}"	relative_root_seconds	2	42	20.993400	2026-05-19T07:05:28.919536+00:00
3591041573416032|window_500	3591041573416032	rumor	2013-06-19 23:08:12+08	1000	window_500	500	500	499	2.0	0.07243502003642129	0.15662079504727586	0.9660780975923401	0.608	"{""0"":196,""1"":304}"	relative_root_seconds	2	42	22.742083	2026-05-19T07:05:51.663125+00:00
3600314818916458|window_500	3600314818916458	rumor	2013-07-15 13:16:45+08	1000	window_500	500	500	499	2.0	0.03990317014502963	0.16658635571033797	0.6148227571461837	0.848	"{""0"":424,""1"":76}"	relative_root_seconds	2	42	20.504403	2026-05-19T07:06:12.182203+00:00
3600427322813770|window_500	3600427322813770	rumor	2013-07-15 20:43:49+08	1000	window_500	500	500	499	2.0	0.012225526094830916	0.0977661082431449	0.3950925605120966	0.922	"{""0"":39,""1"":461}"	relative_root_seconds	2	42	19.508187	2026-05-19T07:06:31.696391+00:00
3600619987870589|window_500	3600619987870589	rumor	2013-07-16 09:29:23+08	1000	window_500	500	500	499	2.0	0.042054785869655845	0.2504646997850957	0.5118645037846749	0.886	"{""0"":57,""1"":443}"	relative_root_seconds	2	42	27.946832	2026-05-19T07:06:59.645735+00:00
3600819456685384|window_500	3600819456685384	rumor	2013-07-16 22:42:01+08	1000	window_500	500	500	499	2.0	0.001954300480496048	0.20095877952902444	0.05291508034196231	0.994	"{""0"":497,""1"":3}"	relative_root_seconds	2	42	21.302725	2026-05-19T07:07:20.953460+00:00
3601471004353060|window_500	3601471004353060	rumor	2013-07-18 17:51:00+08	1000	window_500	500	500	499	2.0	0.00207094541641534	0.1998714098744548	0.05291508034196231	0.994	"{""0"":497,""1"":3}"	relative_root_seconds	2	42	37.209066	2026-05-19T07:07:58.166767+00:00
3602859067013597|window_500	3602859067013597	rumor	2013-07-22 13:46:42+08	1000	window_500	500	500	499	2.0	0.05311180156222932	0.10784312019886672	0.9660780975923401	0.608	"{""0"":304,""1"":196}"	relative_root_seconds	2	42	27.146682	2026-05-19T07:08:25.321149+00:00
3602987870342664|window_500	3602987870342664	rumor	2013-07-22 22:18:32+08	1000	window_500	500	500	499	2.0	0.07439861052285796	0.15421705305141475	0.9732424074320284	0.596	"{""0"":202,""1"":298}"	relative_root_seconds	2	42	29.991831	2026-05-19T07:08:55.316977+00:00
3603595070896498|window_500	3603595070896498	rumor	2013-07-24 14:31:18+08	1000	window_500	500	500	499	2.0	0.01565717810875634	0.08574000785383488	0.4877315835376166	0.894	"{""0"":447,""1"":53}"	relative_root_seconds	2	42	24.713552	2026-05-19T07:09:20.031553+00:00
3604430232223096|window_500	3604430232223096	rumor	2013-07-26 21:50:00+08	1000	window_500	500	500	499	2.0	0.001636174326937379	0.25536617944806006	0.037622360319393075	0.996	"{""0"":498,""1"":2}"	relative_root_seconds	2	42	28.632732	2026-05-19T07:09:48.667281+00:00
3605007607659996|window_500	3605007607659996	rumor	2013-07-28 12:04:13+08	1000	window_500	500	500	499	2.0	0.0693045126867771	0.13915025610394127	0.9944066525598949	0.544	"{""0"":272,""1"":228}"	relative_root_seconds	2	42	25.070430	2026-05-19T07:10:13.739711+00:00
3607837525670588|window_500	3607837525670588	rumor	2013-08-05 07:29:19+08	1000	window_500	500	500	499	2.0	0.0017201172968630293	0.11454487849729751	0.06722154475542148	0.992	"{""0"":496,""1"":4}"	relative_root_seconds	2	42	23.037736	2026-05-19T07:10:36.778453+00:00
3608201914099490|window_500	3608201914099490	rumor	2013-08-06 07:37:16+08	1000	window_500	500	500	499	2.0	0.06280904322009408	0.1297997333160416	0.9743523445263654	0.594	"{""0"":297,""1"":203}"	relative_root_seconds	2	42	38.102042	2026-05-19T07:11:14.883009+00:00
3608356143065421|window_500	3608356143065421	rumor	2013-08-06 17:50:07+08	1000	window_500	500	500	499	2.0	0.05483647020297609	0.1099300174376175	0.9990649315747254	0.518	"{""0"":241,""1"":259}"	relative_root_seconds	2	42	37.391707	2026-05-19T07:11:52.327296+00:00
3609963462799736|window_500	3609963462799736	rumor	2013-08-11 04:17:01+08	1000	window_500	500	500	499	2.0	0.028824602587528444	0.06609496412170822	0.7490593447940916	0.786	"{""0"":393,""1"":107}"	relative_root_seconds	2	42	62.403444	2026-05-19T07:12:54.733744+00:00
3612293323705953|window_500	3612293323705953	rumor	2013-08-17 14:35:03+08	1000	window_500	500	500	499	2.0	0.049000364617029515	0.10370727765335705	0.8763462289123755	0.704	"{""0"":148,""1"":352}"	relative_root_seconds	2	42	60.951315	2026-05-19T07:13:55.689991+00:00
3631473602937496|window_500	3631473602937496	rumor	2013-10-09 12:50:39+08	1000	window_500	500	500	499	2.0	0.04241524260432409	0.10528868579856704	0.8356661472289671	0.734	"{""0"":367,""1"":133}"	relative_root_seconds	2	42	46.384962	2026-05-19T07:14:42.081895+00:00
